company,car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats
Hyundai,Grand i10 1.2 CRDi Sportz,550000.0,83000,Diesel,Manual,1st Owner,2017-01-21,1186,5
Audi,Q3 35 TDI Quattro Premium,2400000.0,38000,Diesel,Automatic,1st Owner,2016-08-06,1968,5
Hyundai,Creta 1.6 SX Automatic Diesel,1325000.0,58000,Diesel,Automatic,1st Owner,2018-05-28,1582,5
Volkswagen,Vento 1.0 TSI Highline AT,1050000.0,23500,Petrol,Automatic,1st Owner,2020-10-18,999,5
Hyundai,i20 1.2 Magna Executive,650000.0,60000,Petrol,Manual,1st Owner,2017-12-31,1197,5
Skoda,Superb LK 1.8 TSI AT,2500000.0,18000,Petrol,Automatic,1st Owner,2018-11-09,1798,5
Honda,Amaze V Petrol BSIV,600000.0,36500,Petrol,Manual,1st Owner,2017-12-28,1199,5
Skoda,Superb Sportline,3100000.0,25000,Petrol,Automatic,1st Owner,2021-01-19,1984,5
Honda,Amaze S i-Vtech,450000.0,30000,Petrol,Manual,1st Owner,2015-10-02,1198,5
Hyundai,i20 Magna 1.2,590000.0,59000,Petrol,Manual,1st Owner,2017-07-25,1197,5
BMW,X1 sDrive 20d xLine,1450000.0,80000,Diesel,Automatic,1st Owner,2014-11-13,1995,5
Hyundai,Xcent 1.2 CRDi E Plus,380000.0,50000,Diesel,Manual,2nd Owner,2017-10-28,1186,5
Tata,Harrier XZAS Plus Kaziranga Edition AT,2100000.0,32000,Diesel,Automatic,1st Owner,2021-11-09,1956,5
Hyundai,i10 Era 1.1 iTech SE,261000.0,120000,Petrol,Manual,2nd Owner,2012-03-10,1086,5
Land,Rover Discovery 2.0 R-Dynamic HSE,11000000.0,33000,Petrol,Automatic,1st Owner,2021-07-01,1997,7
Mini,3 DOOR Cooper S,4200000.0,6900,Petrol,Automatic,1st Owner,2019-12-05,1998,4
Tata,Harrier XZA Plus Kaziranga Edition AT,2250000.0,4500,Diesel,Automatic,1st Owner,2022-06-25,1956,5
Volvo,S90 D4 Inscription BSIV,4200000.0,51000,Diesel,Automatic,1st Owner,2018-06-26,1969,5
Kia,Seltos GTX Plus AT D,1975000.0,12000,Diesel,Automatic,1st Owner,2022-12-09,1493,5
Maruti,Vitara Brezza ZDi Plus,950000.0,37000,Diesel,Manual,1st Owner,2018-08-14,1248,5
Hyundai,Verna SX Opt Diesel,1451000.0,35000,Diesel,Manual,1st Owner,2021-08-15,1493,5
Maruti,Wagon R VXI Optional,300000.0,80000,Petrol,Manual,2nd Owner,2016-05-22,998,5
Hyundai,Grand i10 Magna,459999.99999999994,60000,Petrol,Manual,1st Owner,2016-02-26,1197,5
Honda,Amaze VX CVT,915000.0,10000,Petrol,Automatic,1st Owner,2022-05-15,1199,5
Jaguar,XF 3.0 Litre S Premium Luxury,1700000.0,51000,Diesel,Automatic,2nd Owner,2012-09-27,2993,5
Mahindra,XUV500 AT W6 1.99 mHawk,990000.0,74000,Diesel,Automatic,1st Owner,2017-12-14,1997,7
Tata,Nexon 1.2 Revotron XMA,851000.0,29000,Petrol,Automatic,1st Owner,2020-10-27,1198,5
Jeep,Compass Model S 4X4 Diesel AT,2750000.0,12200,Diesel,Automatic,1st Owner,2021-07-12,1956,5
